embedding,vow,num,jap,kor,hand,overall
SiameseEmbedding,100.0,100.0,30.0,18.181818181818183,50.0,59.63636363636364
LeNet5,20.0,10.0,10.0,9.090909090909092,10.0,11.818181818181818
LeNet5Mod1,100.0,100.0,60.0,63.63636363636363,30.0,70.72727272727272
LeNet5Mod2,40.0,20.0,10.0,9.090909090909092,10.0,17.81818181818182
SiameseEmbeddingMod,100.0,80.0,20.0,63.63636363636363,100.0,72.72727272727272
UltraMinimalEmbedding,100.0,100.0,100.0,100.0,100.0,100.0
UltraMinimalEmbeddingMod,100.0,100.0,100.0,100.0,100.0,100.0
DepthwiseOnlyEmbedding,100.0,100.0,100.0,100.0,100.0,100.0
SqueezeNetLiteEmbedding,20.0,0.0,10.0,0.0,10.0,8.0
UltraDepthwiseHybridLight1,100.0,100.0,100.0,100.0,100.0,100.0
UltraDepthwiseHybridLight2,100.0,100.0,100.0,100.0,100.0,100.0
UltraDepthwiseHybridLight3,20.0,10.0,10.0,9.090909090909092,10.0,11.818181818181818
